1,0
2,0.0720724
3,0.144145
4,0.216217
5,0.28829
6,0.360362
7,0.432435
8,0.504507
9,0.576579
10,0.648652
11,0.720724
12,0.792797
13,0.864869
14,0.936942
15,1.00901
16,1.08109
17,1.15316
18,1.22523
19,1.2973
20,1.36938
21,1.44145
22,1.51352
23,1.58559
24,1.65767
25,1.72974
26,1.80181
27,1.87388
28,1.94596
29,2.01803
30,2.0901
31,2.16217
32,2.23425
33,2.30632
34,2.37839
35,2.45046
36,2.52254
37,2.59461
38,2.66668
39,2.73875
40,2.81082
41,2.8829
42,2.95497
43,3.02704
44,3.09911
45,3.17119
46,3.24326
47,3.31533
48,3.3874
49,3.45948
50,3.53155
51,3.60362
52,3.67569
53,3.74777
54,3.81984
55,3.89191
56,3.96398
57,4.03606
58,4.10813
59,4.1802
60,4.25227
61,4.32435
62,4.39642
63,4.46849
64,4.54056
65,4.61264
66,4.68471
67,4.75678
68,4.82885
69,4.90093
70,4.973
71,5.04507
72,5.11714
73,5.18922
74,5.26129
75,5.33336
76,5.40543
77,5.4775
78,5.54958
79,5.62165
80,5.69372
81,5.76579
82,5.83787
83,5.90994
84,5.98201
85,6.05408
86,6.12616
87,6.19823
88,6.2703
89,6.34237
90,6.41445
91,6.48652
92,6.55859
93,6.63066
94,6.70274
95,6.77481
96,6.84688
97,6.91895
98,6.99103
99,7.0631
100,7.13517
101,7.20724
102,7.27932
103,7.35139
104,7.42346
105,7.49553
106,7.56761
107,7.63968
108,7.71175
109,7.78382
110,7.8559
111,7.92797
112,8.00004
113,8.07211
114,8.14418
115,8.21626
116,8.28833
117,8.3604
118,8.43247
119,8.50455
120,8.57662
121,8.64869
122,8.72076
123,8.79284
124,8.86491
125,8.93698
126,9.00905
127,9.08113
128,9.1532
129,9.22527
130,9.29734
131,9.36942
132,9.44149
133,9.51356
134,9.58563
135,9.65771
136,9.72978
137,9.80185
138,9.87392
139,9.946
140,10.0181
141,10.0901
142,10.1622
143,10.2343
144,10.3064
145,10.3784
146,10.4505
147,10.5226
148,10.5946
149,10.6667
150,10.7388
151,10.8109
152,10.8829
153,10.955
154,11.0271
155,11.0992
156,11.1712
157,11.2433
158,11.3154
159,11.3874
160,11.4595
161,11.5316
162,11.6037
163,11.6757
164,11.7478
165,11.8199
166,11.892
167,11.964
168,12.0361
169,12.1082
170,12.1802
171,12.2523
172,12.3244
173,12.3965
174,12.4685
175,12.5406
176,12.6127
177,12.6847
178,12.7568
179,12.8289
180,12.901
181,12.973
182,13.0451
183,13.1172
184,13.1893
185,13.2613
